Sacramento, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
202111,54.0,0.4
202112,45.6,-1.4
202201,48.1,0.8
202202,51.2,0.1
202203,57.5,2.4
202204,60.3,1.1
202205,67.4,1.6
202206,75.5,3.5
202207,76.4,0.8
202208,78.3,3.2
202209,76.4,4.2
202210,66.8,2.5
202211,50.3,-3.3
202212,45.8,-1.2
202301,49.0,1.7
