San Diego, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
202112,57.6,0.1
202201,59.4,1.3
202202,60.0,1.3
202203,61.2,0.8
202204,63.9,1.4
202205,63.8,-0.5
202206,67.9,0.9
202207,70.0,-0.6
202208,75.1,2.9
202209,76.4,5.0
202210,69.8,1.9
202211,60.4,-2.0
202212,57.6,0.1
202301,56.5,-1.6
